sample_1	1	9	17	25	33	41	
sample_2	2	10	18	26	34	42	
sample_3	3	11	19	27	35	43	
sample_4	4	12	20	28	36	44	
sample_5	5	13	21	29	37	45	
sample_6	6	14	22	30	38	46	
sample_7	7	15	23	31	39	47	
sample_8	8	16	24	32	40	48	
sample_9	1	10	19	28	37	46	
sample_10	2	9	20	27	38	45	
sample_11	3	12	17	26	39	48	
sample_12	4	11	18	25	40	47	
sample_13	5	14	23	32	33	42	
sample_14	6	13	24	31	34	41	
sample_15	7	16	21	30	35	44	
sample_16	8	15	22	29	36	43	
sample_17	1	11	21	31	36	42	
sample_18	2	12	22	32	35	41	
sample_19	3	9	23	29	34	44	
sample_20	4	10	24	30	33	43	
sample_21	5	15	17	27	40	46	
sample_22	6	16	18	28	39	45	
sample_23	7	13	19	25	38	48	
sample_24	8	14	20	26	37	47	
sample_25	1	12	23	30	40	45	
sample_26	2	11	24	29	39	46	
sample_27	3	10	21	32	38	47	
sample_28	4	9	22	31	37	48	
sample_29	5	16	19	26	36	41	
sample_30	6	15	20	25	35	42	
sample_31	7	14	17	28	34	43	
sample_32	8	13	18	27	33	44	
sample_33	1	13	20	32	39	43	
sample_34	2	14	19	31	40	44	
sample_35	3	15	18	30	37	41	
sample_36	4	16	17	29	38	42	
sample_37	5	9	24	28	35	47	
sample_38	6	10	23	27	36	48	
sample_39	7	11	22	26	33	45	
sample_40	8	12	21	25	34	46	
sample_41	1	14	18	29	35	48	
sample_42	2	13	17	30	36	47	
sample_43	3	16	20	31	33	46	
sample_44	4	15	19	32	34	45	
sample_45	5	10	22	25	39	44	
sample_46	6	9	21	26	40	43	
sample_47	7	12	24	27	37	42	
sample_48	8	11	23	28	38	41	
sample_49	1	15	24	26	38	44	
sample_50	2	16	23	25	37	43	
sample_51	3	13	22	28	40	42	
sample_52	4	14	21	27	39	41	
sample_53	5	11	20	30	34	48	
sample_54	6	12	19	29	33	47	
sample_55	7	9	18	32	36	46	
sample_56	8	10	17	31	35	45	
sample_57	1	16	22	27	34	47	
sample_58	2	15	21	28	33	48	
sample_59	3	14	24	25	36	45	
sample_60	4	13	23	26	35	46	
sample_61	5	12	18	31	38	43	
sample_62	6	11	17	32	37	44	
sample_63	7	10	20	29	40	41	
sample_64	8	9	19	30	39	42	
sample_65	1	10	21	30	39	48	
sample_66	2	9	22	29	40	47	
sample_67	3	12	23	32	37	46	
sample_68	4	11	24	31	38	45	
sample_69	5	14	17	26	35	44	
sample_70	6	13	18	25	36	43	
sample_71	7	16	19	28	33	42	
sample_72	8	15	20	27	34	41	
sample_73	1	9	23	31	35	43	
sample_74	2	10	24	32	36	44	
sample_75	3	11	21	29	33	41	
sample_76	4	12	22	30	34	42	
sample_77	5	13	19	27	39	47	
sample_78	6	14	20	28	40	48	
